City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ugoofaaru,5.67,73.0,83.69600000000005,75,100,7.49,MV,1595351241
Carnarvon,-24.87,113.63,62.6,100,0,4.1,AU,1595351097
São João da Barra,-21.64,-41.05,82.4,51,20,3.6,BR,1595351241
Tautira,-17.73,-149.15,71.6,83,40,2.6,PF,1595351242
Besançon,47.25,6.02,80.99600000000005,24,4,2.65,FR,1595350993
Måløy,61.94,5.11,53.6,71,40,6.2,NO,1595351242
Kyren,51.68,102.14,61.91600000000001,59,57,0.92,RU,1595351242
Hofn,64.25,-15.21,52.79000000000002,77,100,7.73,IS,1595351082
Oga,46.46,10.35,66.2,82,75,2.6,IT,1595351242
Port Augusta,-32.5,137.77,41.0,93,0,1.5,AU,1595351242
Chaykovskaya,58.13,55.54,64.4,82,75,4.0,RU,1595351243
Ajdabiya,30.76,20.23,80.2760000000001,54,0,10.58,LY,1595351227
Labytnangi,66.66,66.42,59.21600000000001,73,34,1.57,RU,1595350987
Aykhal,66.0,111.5,46.4,93,90,4.0,RU,1595351243
Shingū,33.73,135.98,74.82200000000003,91,62,1.37,JP,1595351243
Grindavik,63.84,-22.43,53.6,62,75,2.6,IS,1595351243
Vardø,70.37,31.11,55.400000000000006,87,69,3.6,NO,1595351243
Río Gallegos,-51.62,-69.22,23.0,92,20,2.1,AR,1595351105
Ayagoz,47.97,80.44,70.44800000000004,59,55,4.61,KZ,1595351243
Nago,26.59,127.98,82.4,83,20,2.1,JP,1595351244
Kumul,42.8,93.45,77.01800000000009,42,18,1.19,CN,1595351244
Tuktoyaktuk,69.45,-133.04,39.2,80,90,2.6,CA,1595351244
Cabo San Lucas,22.89,-109.91,89.6,48,20,4.1,MX,1595351018
Marsá Maţrūḩ,31.35,27.25,78.80000000000001,78,20,5.7,EG,1595351244
Hilo,19.73,-155.09,71.00600000000003,73,20,2.6,US,1595351244
Puerto Escondido,15.85,-97.07,86.0,74,90,1.5,MX,1595351244
Seoul,37.57,126.98,73.4,88,90,0.55,KR,1595351001
Kensington,-33.92,151.22,50.0,71,75,3.6,AU,1595351244
Richards Bay,-28.78,32.04,63.37400000000001,79,0,3.01,ZA,1595351045
Nome,64.5,-165.41,48.00200000000008,93,90,4.1,US,1595351245
Talnakh,69.49,88.4,53.6,81,75,9.0,RU,1595351245
Chara,56.91,118.26,48.794000000000075,75,100,1.78,RU,1595351245
Thompson,55.74,-97.86,77.0,41,20,3.6,CA,1595351040
Geraldton,-28.77,114.6,51.8,93,6,5.1,AU,1595351245
Buraidah,26.33,43.98,107.60000000000001,15,0,7.2,SA,1595351061
New Norfolk,-42.78,147.06,46.004000000000055,84,92,1.79,AU,1595351049
Kyaikkami,16.08,97.57,82.31000000000009,81,100,2.72,MM,1595351245
Lang Suan,9.95,99.08,77.684,84,100,2.28,TH,1595351245
Saint-François,46.42,3.91,87.80000000000001,38,34,1.0,FR,1595351245
Vágur,61.47,-6.81,51.92600000000009,77,3,2.51,FO,1595351245
Iquitos,-3.75,-73.25,80.6,78,75,2.6,PE,1595351245
Laas,46.62,10.7,66.99199999999999,63,75,1.0,IT,1595351246
Hambantota,6.12,81.12,81.59000000000003,81,99,5.73,LK,1595351246
Acajutla,13.59,-89.83,78.99800000000002,100,100,1.82,SV,1595351076
Biskamzha,53.45,89.53,59.14400000000008,88,100,0.96,RU,1595351246
‘Ewa Beach,21.32,-158.01,75.2,78,1,1.5,US,1595351246
Cortez,37.35,-108.59,82.99400000000009,30,1,2.6,US,1595351246
Guerrero Negro,27.98,-114.06,73.83200000000002,64,2,5.61,MX,1595351246
Pevek,69.7,170.31,48.866000000000014,59,95,2.48,RU,1595351247
Balakhta,55.38,91.6,57.254000000000055,94,23,3.2,RU,1595351247
Verkhniy Rohachyk,47.25,34.34,77.108,47,28,2.97,UA,1595351247
Natal,-5.79,-35.21,73.4,94,75,5.7,BR,1595351114
Sechura,-5.56,-80.82,72.66200000000006,58,83,4.16,PE,1595351247
Wad Medani,14.4,33.52,87.60200000000009,46,95,3.83,SD,1595351247
Tucuruí,-3.77,-49.67,90.91400000000004,44,64,2.63,BR,1595351247
Piranshahr,36.7,45.14,80.34800000000003,16,0,2.23,IR,1595351226
Sept-Îles,50.2,-66.38,73.00400000000005,49,40,8.2,CA,1595351234
Torbay,47.67,-52.73,75.00200000000008,78,40,9.3,CA,1595351115
Nieuw Nickerie,5.95,-56.98,82.4,81,42,2.93,SR,1595351247
Calama,-22.47,-68.93,68.0,2,86,4.1,CL,1595351127
Riyadh,24.69,46.72,107.60000000000001,9,39,5.7,SA,1595351122
Jalu,29.03,21.55,93.092,19,0,5.19,LY,1595351248
Longyearbyen,78.22,15.64,50.0,71,75,1.0,SJ,1595351125
Bethel,41.37,-73.41,87.99800000000002,48,40,4.1,US,1595351248
Yumen,40.28,97.2,75.72200000000004,25,39,2.26,CN,1595351248
Yate,51.54,-2.42,69.99800000000002,44,45,1.79,GB,1595351248
Qaqortoq,60.72,-46.03,64.4,52,40,1.5,GL,1595351248
Hasaki,35.73,140.83,75.2,94,75,2.6,JP,1595351206
Arica,-18.48,-70.3,62.6,67,90,2.6,CL,1595351128
Sobolevo,54.43,31.9,64.99400000000009,88,98,3.65,RU,1595351248
Maragogi,-9.01,-35.22,78.83600000000007,68,3,5.46,BR,1595351248
Thai Binh,20.45,106.33,84.2,83,20,3.1,VN,1595351001
Rio Grande,-32.03,-52.1,86.0,40,100,2.1,BR,1595350970
Rawson,-43.3,-65.1,44.294000000000075,75,100,9.31,AR,1595351249
Vao,-22.67,167.48,68.9,70,89,5.54,NC,1595351249
Cururupu,-1.83,-44.87,83.82200000000003,71,15,2.61,BR,1595351249
Kothi,24.75,80.78,85.17200000000004,68,35,5.3,IN,1595351249
Morondava,-20.28,44.28,70.12400000000002,69,0,5.55,MG,1595351249
Napuro,12.03,124.71,76.60400000000006,90,80,1.49,PH,1595351249
Barrow,71.29,-156.79,30.2,92,90,4.1,US,1595351249
San Matías,-16.37,-58.4,95.234,22,0,3.65,BO,1595351250
Sonāmura,23.47,91.27,78.76400000000004,90,100,4.1,IN,1595351250
Itarema,-2.92,-39.92,85.17200000000004,58,15,6.99,BR,1595351250
Pacific Grove,36.62,-121.92,59.0,93,90,1.5,US,1595351119
Sørland,67.67,12.69,55.400000000000006,71,75,3.6,NO,1595351250
Panguna,-6.32,155.48,66.93800000000005,100,30,0.71,PG,1595351250
Ordu,40.91,37.68,77.0,73,40,4.1,TR,1595351250
Norman Wells,65.28,-126.83,51.8,93,90,6.2,CA,1595351250
Namatanai,-3.67,152.43,79.01600000000002,85,81,2.49,PG,1595351250
Avera,33.19,-82.53,91.99400000000009,62,40,2.1,US,1595351250
Nouadhibou,20.93,-17.03,82.4,61,1,5.1,MR,1595351251
Auki,-8.77,160.7,74.28200000000001,84,61,3.09,SB,1595351251
Tarko-Sale,64.92,77.78,48.992,74,14,6.97,RU,1595351251
Narsaq,60.92,-46.05,64.4,52,40,1.5,GL,1595351251
Paamiut,61.99,-49.67,46.814000000000036,77,100,5.23,GL,1595351251
Belfast,54.58,-5.93,62.6,59,97,4.6,GB,1595351251
Verkhoyansk,67.54,133.38,68.18000000000004,55,100,2.78,RU,1595351251
Abhā,18.22,42.51,66.2,82,75,5.1,SA,1595351252
Kulhudhuffushi,6.62,73.07,83.35400000000006,75,100,6.94,MV,1595351031
Qaanaaq,77.48,-69.36,49.1,52,21,0.65,GL,1595351039
Katangli,51.71,143.23,51.242,96,100,6.09,RU,1595351252
Saint-Augustin,51.23,-58.65,78.7100000000001,44,33,7.88,CA,1595351252
Korla,41.76,86.15,78.99800000000002,75,61,1.34,CN,1595351252
Belaya Gora,68.53,146.42,66.434,56,100,3.23,RU,1595351252
Shubarshi,48.59,57.19,87.00800000000001,27,68,6.43,KZ,1595351252
Beibei,29.83,106.43,77.0,88,40,2.0,CN,1595351252
Derzhavīnsk,51.1,66.32,70.46600000000001,69,96,5.81,KZ,1595351253
Abnūb,27.27,31.15,95.0,26,1,5.1,EG,1595351253
Asău,46.43,26.4,64.99400000000009,93,56,0.58,RO,1595351042
Lata,40.16,-8.33,91.00400000000005,39,52,2.9,PT,1595351253
Arlit,18.74,7.39,102.48800000000004,18,42,3.79,NE,1595351253
Eureka,40.8,-124.16,57.2,82,90,1.5,US,1595351061
Los Llanos de Aridane,28.66,-17.92,78.80000000000001,61,20,6.7,ES,1595351064
Pangnirtung,66.15,-65.71,48.2,93,90,3.1,CA,1595351253
Husavik,66.04,-17.34,55.400000000000006,66,40,7.2,IS,1595351253
San Cristobal,7.77,-72.22,93.2,44,20,4.1,VE,1595351068
Lafia,8.48,8.52,82.99400000000009,75,36,1.18,NG,1595351253
Yulara,-25.24,130.99,53.6,66,90,2.1,AU,1595351253
Ribeira Grande,38.52,-28.7,75.2,53,40,3.1,PT,1595351254
Sola,-13.88,167.55,76.69400000000007,74,93,7.72,VU,1595351254
Kamaishi,39.27,141.88,69.22400000000002,92,100,4.26,JP,1595351254
Gogrial,8.53,28.1,76.80200000000008,82,44,2.17,SS,1595351254
Karpathos,35.51,27.21,78.80000000000001,74,20,15.4,GR,1595350983
Sandomierz,50.68,21.75,75.99199999999999,56,8,0.89,PL,1595351254
Ambanja,-13.68,48.45,70.30400000000006,75,20,0.72,MG,1595351254
Umm Kaddadah,13.6,26.69,93.56000000000009,30,21,1.38,SD,1595351254
Liverpool,53.41,-2.98,64.00400000000005,67,20,3.1,GB,1595351054
Acaraú,-2.89,-40.12,85.334,57,26,6.78,BR,1595351254
Svetlaya,46.54,138.33,60.78200000000002,94,100,3.59,RU,1595351254
Kruisfontein,-34.0,24.73,64.61600000000001,26,0,3.08,ZA,1595351254
Tuatapere,-46.13,167.68,39.00200000000008,83,89,1.34,NZ,1595351255
Hastings,50.86,0.57,66.2,59,20,5.1,GB,1595350978
Salinas,36.68,-121.66,64.00400000000005,82,90,2.1,US,1595351252
Padilla,3.22,-76.31,82.4,65,40,2.1,CO,1595351255
Tigil',57.8,158.67,43.610000000000085,85,0,0.97,RU,1595351255
Bluefields,12.01,-83.76,84.2,79,75,2.28,NI,1595351255
Port-Gentil,-0.72,8.78,80.6,74,20,5.83,GA,1595351255
La Santisima Trinidad,-14.83,-64.9,87.80000000000001,62,20,5.1,BO,1595351182
Khandyga,62.67,135.6,57.74000000000002,60,58,1.28,RU,1595351255
Naze,28.37,129.48,77.0,94,87,1.0,JP,1595351255
Sochi,43.6,39.73,77.0,78,40,5.0,RU,1595351255
Skeldon,5.88,-57.13,83.69600000000005,82,43,1.05,GY,1595351255
Stokmarknes,68.56,14.91,53.6,87,75,1.5,NO,1595351256
Aksarka,66.56,67.8,57.56000000000009,60,65,2.33,RU,1595351256
Namwala,-15.75,26.44,60.92600000000009,52,49,2.75,ZM,1595351256
Coyhaique,-45.58,-72.07,35.6,80,90,2.1,CL,1595351062
Leningradskiy,69.38,178.42,44.36600000000001,72,95,4.23,RU,1595351049
Kahului,20.89,-156.47,73.99400000000009,73,1,2.1,US,1595351256
Mosquera,4.71,-74.23,62.6,55,75,1.0,CO,1595351086
Tari,12.41,4.49,91.81400000000004,44,50,2.0,NG,1595351256
Bariloche,-41.15,-71.31,35.00600000000003,90,90,5.7,AR,1595351256
Camapuã,-19.53,-54.04,90.98600000000008,20,0,3.95,BR,1595351256
Djibouti,11.5,42.5,95.0,34,75,4.6,DJ,1595350984
Mehamn,71.04,27.85,53.6,87,20,2.1,NO,1595351256
Los Algarrobos,8.5,-82.43,84.2,70,40,2.1,PA,1595351256
Sambava,-14.27,50.17,70.95200000000008,71,8,7.63,MG,1595351256
Faanui,-16.48,-151.75,77.48600000000008,83,70,11.43,PF,1595351257
Chincholi,17.47,77.43,80.43800000000005,76,99,1.35,IN,1595351257
Turukhansk,65.82,87.98,49.208000000000006,92,83,5.07,RU,1595351257
Hokitika,-42.72,170.97,46.86800000000009,82,96,1.73,NZ,1595351257
Nantucket,41.28,-70.1,82.4,58,1,5.1,US,1595351257
Daru,-9.08,143.21,76.64000000000001,88,98,6.12,PG,1595351257
Keti Bandar,24.14,67.45,86.07200000000003,75,100,8.82,PK,1595351257
Cockburn Town,21.46,-71.14,87.80000000000001,66,40,6.7,TC,1595351257
Mianyang,31.46,104.75,71.34800000000003,82,100,1.57,CN,1595351258
San Jerónimo,-11.95,-75.28,61.80800000000001,29,0,1.11,PE,1595351258
Galveston,29.37,-94.97,82.99400000000009,83,1,2.1,US,1595351137
Dicabisagan,17.08,122.42,79.98800000000006,84,100,1.58,PH,1595351258
Healdsburg,38.61,-122.87,62.00600000000003,83,35,1.55,US,1595351258
East London,-33.02,27.91,65.48000000000005,67,0,4.24,ZA,1595350995
Placer,39.07,-120.77,87.00800000000001,46,1,1.5,US,1595351258
Paraty,-23.22,-44.71,80.6,30,0,1.0,BR,1595351258
Copiapó,-27.37,-70.33,62.6,51,40,4.1,CL,1595351258
Dargaville,-35.93,173.88,49.352000000000075,82,52,7.09,NZ,1595351258
Dunedin,-45.87,170.5,42.008,75,100,2.68,NZ,1595351258
Barra de Tecoanapa,16.52,-98.75,86.37800000000007,67,91,3.01,MX,1595351259
Baghdad,33.34,44.4,107.60000000000001,16,0,6.2,IQ,1595351259
Martapura,-3.42,114.85,77.0,100,40,0.5,ID,1595351259
Bengkulu,-3.8,102.27,77.66600000000001,86,96,2.33,ID,1595351259
Clyde River,70.47,-68.59,48.2,87,75,2.1,CA,1595351259
Pando,-34.72,-55.95,62.99600000000005,87,90,2.1,UY,1595351259
Westport,41.14,-73.36,89.00600000000003,48,1,5.1,US,1595351259
Plettenberg Bay,-34.05,23.37,64.76000000000008,40,0,2.1,ZA,1595351259
Alofi,-19.06,-169.92,68.0,100,66,1.5,NU,1595351259
Adra,36.75,-3.02,93.2,28,0,12.9,ES,1595351259
Severo-Kuril'sk,50.68,156.12,47.46200000000006,90,24,1.02,RU,1595351260
Skibotn,69.39,20.27,51.8,100,75,6.2,NO,1595351260
La Ronge,55.1,-105.28,68.0,77,20,3.6,CA,1595351260
Cap Malheureux,-19.98,57.61,69.99800000000002,56,63,1.34,MU,1595351260
Muli,2.92,73.57,84.41600000000001,73,82,6.82,MV,1595351260
Santa Maria,-29.68,-53.81,84.2,39,99,1.5,BR,1595351260
Lorengau,-2.02,147.27,81.71600000000001,74,63,2.15,PG,1595351048
Otavi,-19.65,17.33,60.908,31,0,4.22,NA,1595351260
Wuwei,37.93,102.64,73.00400000000005,49,40,0.09,CN,1595351260
Lethem,3.38,-59.8,75.59600000000006,89,100,1.17,GY,1595351260
Coro,11.4,-69.67,90.93200000000002,52,9,8.11,VE,1595351260
Arrah,25.57,84.67,77.0,94,75,1.5,IN,1595351260
Mackenzie,55.3,-123.17,59.0,93,90,4.6,CA,1595351260
Berkovica,44.62,18.43,82.4,45,20,2.1,BA,1595351261
Batagay,67.63,134.63,67.85600000000002,60,99,2.08,RU,1595351261
Bellevue,47.61,-122.2,73.99400000000009,64,1,3.1,US,1595351261
Yar-Sale,66.83,70.83,49.064000000000036,63,35,2.09,RU,1595351261
Abashiri,44.02,144.27,64.99400000000009,84,100,0.89,JP,1595351261
Traverse City,44.76,-85.62,77.0,53,20,4.1,US,1595351261
Ancud,-41.87,-73.82,50.0,76,40,1.0,CL,1595351262
Meulaboh,4.14,96.13,75.84800000000003,91,100,3.3,ID,1595351262
Furukawa,38.57,140.96,69.27800000000008,97,100,0.23,JP,1595351262
Alekseyevskoye,55.31,50.11,62.6,88,75,3.0,RU,1595351262
Caraballeda,10.61,-66.85,87.80000000000001,70,40,5.1,VE,1595351262
Troitsko-Pechorsk,62.71,56.2,63.69800000000002,65,0,2.24,RU,1595351262
Apatity,67.56,33.4,68.39600000000004,49,92,2.68,RU,1595351262
Fountain,38.68,-104.7,75.00200000000008,49,1,3.6,US,1595351020
Watertown,42.37,-71.18,89.99600000000005,40,40,3.6,US,1595351262
Saint-Pierre,-21.34,55.48,66.2,77,75,2.6,RE,1595351262
Lompoc,34.64,-120.46,59.0,82,85,3.6,US,1595351251
Nísia Floresta,-6.09,-35.21,73.4,94,75,5.7,BR,1595351262
Samfya,-11.36,29.56,64.11200000000005,48,0,0.48,ZM,1595351262
Moerai,-22.43,-151.33,71.07800000000006,75,89,6.78,PF,1595351263
Eidfjord,60.47,7.07,46.99400000000007,64,65,2.24,NO,1595351263
Celestún,20.87,-90.4,87.35,60,6,2.42,MX,1595351263
Zuénoula,7.43,-6.04,84.18200000000002,69,61,1.93,CI,1595351263
Nizāmābād,18.67,78.12,79.61000000000008,81,100,1.25,IN,1595351263
Bayangol,50.7,103.47,55.184,89,45,0.67,RU,1595351263
Cambuci,-21.58,-41.91,82.4,51,20,3.6,BR,1595351263
Buala,-8.14,159.59,78.7100000000001,84,95,5.08,SB,1595351076
Vila Franca do Campo,37.72,-25.43,73.4,60,75,3.6,PT,1595351263
Anadyr,64.75,177.48,41.0,86,2,3.0,RU,1595351263
Mossamedes,-15.2,12.15,70.484,62,2,2.69,AO,1595351263
Saint Anthony,45.02,-93.22,73.00400000000005,78,75,4.1,US,1595351052
La Palma,33.85,-118.05,73.00400000000005,68,90,2.45,US,1595351211
Polyarny,69.2,33.45,78.80000000000001,36,37,2.0,RU,1595351264
Kuřim,49.3,16.53,75.2,64,20,2.6,CZ,1595351264
Nhulunbuy,-12.23,136.77,71.6,88,40,2.1,AU,1595351264
Nanortalik,60.14,-45.24,51.656000000000034,65,100,4.7,GL,1595351053
Burnie,-41.07,145.92,44.00600000000003,65,40,4.02,AU,1595351264
Margherita,27.28,95.68,74.46200000000006,94,100,1.23,IN,1595351264
Leshukonskoye,64.9,45.76,69.54800000000003,59,0,2.44,RU,1595351264
Prieska,-29.66,22.75,60.89000000000002,27,0,2.94,ZA,1595351264
Antanifotsy,-19.65,47.32,47.516000000000005,92,11,1.42,MG,1595351264
Wakefield,53.68,-1.5,62.99600000000005,60,75,3.39,GB,1595351239
Beringovskiy,63.05,179.32,46.11200000000006,82,0,2.05,RU,1595351264
Muroto-misakicho,33.28,134.15,79.64600000000004,83,72,1.77,JP,1595351264
Houma,29.6,-90.72,87.80000000000001,74,75,3.6,US,1595351265
Ürümqi,43.8,87.6,80.6,36,13,2.0,CN,1595351161
Lākshām,23.25,91.14,79.592,89,100,3.59,BD,1595351104
Mmathubudukwane,-24.6,26.43,66.2,36,0,1.5,BW,1595351265
Coahuayana Viejo,18.73,-103.68,80.6,74,5,2.2,MX,1595351265
Dingle,11.0,122.67,76.55000000000001,89,100,1.77,PH,1595351265
Mayumba,-3.43,10.66,73.94000000000003,81,56,4.65,GA,1595351265
Alamosa,37.47,-105.87,69.80000000000001,37,1,3.6,US,1595351265
Huarmey,-10.07,-78.15,66.70400000000006,68,59,4.64,PE,1595351074
Sioux Lookout,50.1,-91.92,68.0,68,75,1.5,CA,1595351102
Goulburn,-34.75,149.72,28.994000000000074,95,0,1.05,AU,1595351265
Tucumcari,35.17,-103.72,75.2,69,1,3.6,US,1595351266
Ostrovnoy,68.05,39.51,67.15400000000005,64,0,5.14,RU,1595351266
Solnechnyy,50.72,136.63,61.82600000000009,95,99,1.23,RU,1595351266
Waikuku,-43.3,172.68,48.992,93,55,6.2,NZ,1595351266
Najrān,17.49,44.13,96.8,22,75,4.1,SA,1595351266
